,accuracy,f1_score,precision,recall,auc_roc,cv_f1_mean,cv_f1_std,train_time_seconds,carbon_emissions_kg,energy_kwh,n_parameters
Logistic Regression,0.8254,0.7442,0.7273,0.7619,0.8685,0.6073,0.1099,0.0076,0.001288,2.299e-05,19.0
Decision Tree,0.7778,0.6818,0.6522,0.7143,0.7647,0.5245,0.072,0.0015,0.001356,2.419e-05,43.0
Random Forest,0.8413,0.75,0.7895,0.7143,0.881,0.5109,0.078,0.1057,0.001114,1.988e-05,6478.0
XGBoost,0.8413,0.7619,0.7619,0.7619,0.8866,0.5613,0.0711,0.1457,0.000646,1.152e-05,5000.0
